browser,chromium,chromium,webkit,webkit,firefox,firefox
.opml,True,True,True,True,True,True
.opus,True,True,True,True,True,True
.org,True,True,True,True,True,True
.orig,True,True,True,True,True,True
.original,True,True,True,True,True,True
.otf,True,True,False,False,True,True
.oui,True,True,True,True,True,True
.out,True,True,True,True,True,True
.p,True,True,True,True,True,True
.p3p,True,True,True,True,True,True
.p7b,True,True,True,True,True,True
.pac,True,True,True,True,True,True
.pad,True,True,True,True,True,True
.page,True,True,True,True,True,True
.pages,True,True,False,False,True,True
.parse,True,True,True,True,True,True
.pd,True,True,True,True,True,True
.pdb,True,True,False,False,True,True
.pdf,False,False,False,False,True,True
.pem,True,True,False,False,True,True
.pfx,True,True,False,False,True,True
.pgp,True,True,True,True,True,True
.pgsql,True,True,True,True,True,True
.pgt,True,True,True,True,True,True
.ph,True,True,True,True,True,True
.phP,True,True,False,False,True,True
.phar,True,True,True,True,True,True
.php,True,True,False,False,True,True
".php,",True,True,True,True,True,True
.php1,True,True,True,True,True,True
.php2,True,True,True,True,True,True
.php3,True,True,False,False,True,True
.php4,True,True,False,False,True,True
.php5,True,True,True,True,True,True
.php7,True,True,True,True,True,True
.phpmailer,True,True,True,True,True,True
.phpp,True,True,True,True,True,True
.phps,True,True,True,True,True,True
.php~,True,True,True,True,True,True
.pht,True,True,True,True,True,True
.phtm,True,True,True,True,True,True
.phtml,True,True,False,False,True,True
.pl,True,True,False,False,True,True
.plx,True,True,True,True,True,True
.pm,True,True,False,False,True,True
.png,False,True,False,True,True,True
.pnp,True,True,True,True,True,True
.po,True,True,True,True,True,True
.pop3,True,True,True,True,True,True
.popup,True,True,True,True,True,True
.portal,True,True,True,True,True,True
.pot,True,True,False,False,True,True
.pps,True,True,False,False,True,True
.ppt,False,False,False,False,True,True
.pptx,False,False,False,False,True,True
.prep,True,True,True,True,True,True
.preview,True,True,True,True,True,True
.prg,True,True,True,True,True,True
.price,True,True,True,True,True,True
.print,True,True,True,True,True,True
.process,True,True,True,True,True,True
.prt,True,True,True,True,True,True
.ps,False,False,False,False,True,True
.psd,True,True,False,False,True,True
.psp,True,True,True,True,True,True
.psql,True,True,True,True,True,True
.pub,True,True,True,True,True,True
.pvk,True,True,True,True,True,True
.pwd,True,True,True,True,True,True
.py,True,True,False,False,True,True
.pyc,True,True,True,True,True,True
.q,True,True,True,True,True,True
.query,True,True,True,True,True,True
.r,True,True,True,True,True,True
.ra,True,True,False,False,True,True
.ram,True,True,False,False,True,True
.rar,True,True,True,True,True,True
.raw,True,True,False,False,True,True
.rb,True,True,False,False,True,True
.rc,True,True,True,True,True,True
.rdf,False,False,True,True,True,True
.read,True,True,True,True,True,True
.readme,True,True,True,True,True,True
.rec,True,True,True,True,True,True
.red,True,True,True,True,True,True
.reg,True,True,True,True,True,True
.require,True,True,True,True,True,True
.results,True,True,True,True,True,True
.resx,True,True,True,True,True,True
.rhtml,True,True,True,True,True,True
.rm,True,True,False,False,True,True
.rpm,True,True,False,False,True,True
.rss,True,True,True,True,True,True
.rtf,False,False,False,False,True,True
.ru,True,True,True,True,True,True
.run,True,True,True,True,True,True
.s,True,True,True,True,True,True
.s7,True,True,True,True,True,True
.sample,True,True,True,True,True,True
.sav,True,True,True,True,True,True
.save,True,True,True,True,True,True
.scc,True,True,True,True,True,True
.scripts,True,True,True,True,True,True
.sdb,True,True,True,True,True,True
.se,True,True,True,True,True,True
.sea,True,True,False,False,True,True
.seam,True,True,True,True,True,True
.search,True,True,True,True,True,True
.sema,True,True,True,True,True,True
.ser,True,True,True,True,True,True
.server,True,True,True,True,True,True
.session,True,True,True,True,True,True
.settings,True,True,True,True,True,True
.setup,True,True,True,True,True,True
.sh,True,True,False,False,True,True
.shop,True,True,True,True,True,True
.shtm,True,True,True,True,True,True
.shtml,True,True,True,True,True,True
.sis,True,True,True,True,True,True
.sit,True,True,False,False,True,True
.site,True,True,True,True,True,True
.sitemap,True,True,True,True,True,True
.sitx,True,True,False,False,True,True
.sln,True,True,True,True,True,True
.smi,True,True,False,False,True,True
.smil,True,True,False,False,True,True
.smtp,True,True,True,True,True,True
.sql,True,True,True,True,True,True
.squery,True,True,True,True,True,True
.src,True,True,False,False,True,True
.srv,True,True,True,True,True,True
.ssf,True,True,True,True,True,True
.ssi,True,True,True,True,True,True
.start,True,True,True,True,True,True
.static,True,True,True,True,True,True
.ste,True,True,True,True,True,True
.stm,True,True,True,True,True,True
.store,True,True,True,True,True,True
.strpos,True,True,True,True,True,True
.suo,True,True,True,True,True,True
.svc,True,True,True,True,True,True
.svg,True,True,True,True,True,True
.svn,True,True,True,True,True,True
.swf,False,False,False,False,True,True
.swi,True,True,True,True,True,True
.swp,True,True,True,True,True,True
.sxw,True,True,False,False,True,True
.t,True,True,False,False,True,True
.taf,True,True,True,True,True,True
.tar,False,False,False,False,True,True
.tcl,True,True,False,False,True,True
.tem,True,True,True,True,True,True
.temp,True,True,True,True,True,True
.template,True,True,False,False,True,True
.templates,True,True,True,True,True,True
.test,True,True,True,True,True,True
.text,True,True,True,True,True,True
.tgz,False,False,False,False,True,True
.thtml,True,True,True,True,True,True
.tif,False,False,False,True,True,True
".tif,",True,True,True,True,True,True
.tiff,False,False,False,True,True,True
.tmp,True,True,True,True,True,True
.tmpl,True,True,True,True,True,True
.top,True,True,True,True,True,True
.torrent,True,True,True,True,True,True
.tpl,True,True,True,True,True,True
.trck,True,True,True,True,True,True
.ts,True,True,True,True,True,True
.ttf,True,True,False,False,True,True
.tv,True,True,True,True,True,True
.txt,True,True,True,True,True,True
.types,True,True,True,True,True,True
.ua,True,True,True,True,True,True
.uk,True,True,True,True,True,True
.url,True,True,True,True,True,True
.us,True,True,True,True,True,True
.user,True,True,True,True,True,True
.v,True,True,True,True,True,True
.vb,True,True,True,True,True,True
.vbproj,True,True,True,True,True,True
.vbs,True,True,True,True,True,True
.vcf,True,True,False,False,True,True
.vcs,True,True,False,False,True,True
.view,True,True,True,True,True,True
.vm,True,True,True,True,True,True
.vorteil,True,True,True,True,True,True
.vsd,True,True,True,True,True,True
